Rang,Équipe,Points,Victoires,Défaites
1,Lens,40,13,3
2,PSG,36,11,2
3,Marseille,32,10,4
4,Lille,32,10,4
5,Lyon,30,9,5
6,Rennes,27,7,3
7,Strasbourg,23,7,7
8,Toulouse,23,6,6
9,Monaco,23,7,8
10,Angers,22,6,6
